Id,Name,Link,Ingredients,Allergensraw,Allergensmapped,helper column (milk),helper column (egg),helper column (peanut),helper column (tree nut),helper column (wheat),helper column (soy),helper column (fish),Allergensmapped
20,HENRYS Sable coco,https://world.openfoodfacts.org/product/3362600011228,"wheat flour, sugar, vegetable fat, grated coconut, milk powder, whey powder, inverted sugar, raising agents ammonium bicarbonate, sodium bicarbonate, salt, flavors","gluten,milk",,milk,,,,wheat,,,"milk, wheat"
21,Roasted almonds without sugar,https://world.openfoodfacts.org/product/5411188112709,"water, almonds, calcium carbonate, sea salt, stabilizers guar gum, gellan, emulsifier lecithin, natural flavor, vitamins b, d, e",nuts,,,,,tree nut,,,,tree nut
22,"Nut mix (mixed nuts), unroasted",https://world.openfoodfacts.org/product/20047238,"walnut kernels, hazelnut kernels, cashew kernels, blanched almonds",nuts,,,,,tree nut,,,,tree nut
23,Oat Drink ,https://world.openfoodfacts.org/product/7394376616228,"water,  oats  , rapeseed oil, acidity regulator dipotassium phosphate, minerals calcium carbonate, potassium iodide, salt, vitamins d, riboflavin and b,",gluten,,,,,,wheat,,,wheat
24,Margarine La Prairie,https://world.openfoodfacts.org/product/6111203001467,"vegetable fat, water, sugar, salt, vegetable monoglycerides, soy lecithin, calcium, starch, potassium sorbate, antioxidant citric acid, flavor, carotene, vitamins a, b, b, b, e, d, b",soybeans,,,,,,,soy,,soy
25,Natural walnut kernels,https://world.openfoodfacts.org/product/20005733,walnut kernels,nuts,,,,,tree nut,,,,tree nut
26,Crispy biscuits with a creamy Nutella filling,https://world.openfoodfacts.org/product/8000500310427/biscuits-nutella,"hazelnut and cocoa spread sugar, palm oil, hazelnuts, creamed milk powder, lowfat cocoa, emulsifiers soy lecithins","wheat,milk,barley,soy",,milk,,,,wheat,soy,,"milk, wheat, soy"
27,Authentic crunchy crispbread,https://world.openfoodfacts.org/product/7300400481595,"whole rye flour, rye flour, yeast, salt  may contain traces of lupin, milk, mustard, sesame seeds, and soy",gluten,,,,,,wheat,,,wheat
28,Familia ,https://world.openfoodfacts.org/product/6111037000599,"margarine vegetable fats and oils, water, salt, lecithin, monoglycerides, starch, potassium sorbate, citric acid, flavor, antioxidant, coloring, vitamins",soybeans,,,,,,,soy,,soy
29,Nocciolata,https://world.openfoodfacts.org/product/8052575090230,"raw sugar, hazelnut paste ,, sunflower oil, skimmed milk powder, lowfat cocoa powder ,, cocoa butter, emulsifier soy lecithin, vanilla extract","milk,nuts,soybeans",,milk,,,tree nut,,soy,,"milk, tree nut, soy"
30,Hazelnut & Cocoa Spread,https://world.openfoodfacts.org/product/3608580065340,"sugar, hazelnuts, vegetable oils sunflower, rapeseed, creamed milk powder, lowfat cocoa powder, cocoa butter, emulsifier sunflower lecithin, vanilla extract","milk,nuts",,milk,,,tree nut,,,,"milk, tree nut"
31,KALLO Organic Vegetable Stock Cubes,https://world.openfoodfacts.org/product/5013665112273/organic-vegetable-stock-cubes-kall%C3%B8,"sea salt, potato starch, sustainable palm oil, sugar, vegetables,celery, onion, parsnip, tomato, sunflower oil, yeast extract, caramelised sugar, herbs and spices, lovage, turmeric, parsely, black pepper",celery,,,,,,,,,none
32,Mackerel fillets,https://world.openfoodfacts.org/product/6111162001218,"mackerel, vegetable oil, salt",fish,,,,,,,,fish,fish
33,Organic dark chocolate filled biscuits,https://world.openfoodfacts.org/product/3229820786100/fourres-au-chocolat-noir-bio-bjorg,"wheat flour, dark chocolate, cocoa paste, unrefined cane sugar, cocoa butter, brown unrefined cane sugar, whole wheat flour, sunflower oil, natural vanilla flavor, creamed milk powder, unrefined sea salt, raising agents ammonium carbonates, sodium carbonates, thickener acacia gum, antioxidant rosemary extract","gluten, milk",,milk,,,,wheat,,,"milk, wheat"
34,Extra dark Cocoa,https://world.openfoodfacts.org/product/20022464,"cocoa mass, sugar, cocoa butter, fat reduced cocoa powder, emulsifier lecithins soya, natural vanilla flavouring, dark chocolate contains cocoa solids  minimum,",soybeans,,,,,,,soy,,soy
35,Pure peanut butter,https://world.openfoodfacts.org/product/3760020507350,organic peanuts  may contain traces of tree nuts and sesame seeds,peanuts,,,,peanut,tree nut,,,,"peanut, tree nut"
36,Skyr nature,https://world.openfoodfacts.org/product/3329770077003,lowfat yogurt,milk,,milk,,,,,,,milk
37,Large sliced sandwich bread with rye & seeds,https://world.openfoodfacts.org/product/3760049798609,"wheat flour, water, brown flax seeds, yellow flax seeds, hulled sunflower seeds, rye flour, wheat gluten, roasted malted barley flour, yeast, barley malt extract, salt, vinegar, natural flavor containing alcohol, preservative calcium propionate, dehydrated acerola juice",gluten,,,,,,wheat,,,wheat
38,JASONS Sourdough,https://world.openfoodfacts.org/product/5025125000129,"wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, water, wholemeal spelt wheat flour, sprouted spelt wheat grains , rye flour, salt, fermented wheat flour",gluten,,,,,,wheat,,,wheat
39,FIBRES,https://world.openfoodfacts.org/product/7300400481588,"whole rye flour, wheat bran, oat flakes, sesame seeds, wheat germ, salt","gluten,sesame-seeds",,,,,,wheat,,,wheat
40,Wholegrain Krisprolls with no added sugar,https://world.openfoodfacts.org/product/7311070032611,"whole wheat flour , wheat flour, vegetable oils fully hydrogenated rapeseed oil, barley malt, yeast, salt",gluten,,,,,,wheat,,,wheat
41,Wholegrain slices with no added sugar,https://world.openfoodfacts.org/product/3029330022428,"whole wheat flour, water, wheat flour, rapeseed oil, yeast, natural flavor containing alcohol, salt, fermented corn flour, wheat gluten, powdered acerola juice  palm oilfree, suitable for a vegan diet",gluten,,,,,,wheat,,,wheat
42,Henrys,https://world.openfoodfacts.org/product/3362600011006,"wheat flour, sugar, vegetable fat, inverted sugar, raising agents ammonium bicarbonate, sodium bicarbonate, vanilla flavor",gluten,,,,,,wheat,,,wheat
43,Genoese pesto,https://world.openfoodfacts.org/product/8076809513753,"sunflower oil, fresh basil , cashew nuts, parmigiano reggiano pdo cheese , milk, maize fibre, whey powder milk, salt, milk protein, extra virgin olive oil, sugar, basil extract, natural flavourings milk, acidity regulator lactic acid, garlic","milk,nuts",,milk,,,tree nut,,,,"milk, tree nut"
44,Crunchy muesli with mixed nuts,https://world.openfoodfacts.org/product/3168930010265,"whole oats, whole wheat, glucose syrup, sunflower oil, sugar, roasted almonds, hazelnuts, oligofructose, pecans, wheat flour, rice flour, brazil nuts, honey, natural flavors, antioxidant tocopherol","gluten,nuts",,,,,tree nut,wheat,,,"tree nut, wheat"
45,Black momo,https://world.openfoodfacts.org/product/6111259341197,"wheat flour, sugar, hydrogenated vegetable oil palm, cocoa powder, acidity regulators citric acid, tartaric acid, raising agents ammonium bicarbonate, sodium bicarbonate, vegetable emulsifier soy lecithin, salt","gluten,milk,soybeans",,milk,,,,wheat,soy,,"milk, wheat, soy"
46,LIEBIG Tomato soup with meatballs ,https://world.openfoodfacts.org/product/5410056188051/tomate-avec-boulettes-liebig,"vegetables  tomato , carrot, onion, celery leek, parsnip, water, potato, dumplings , pork and beef meat, breadcrumbs contains wheat, salt, spices and herbs, concentrated butter, salt, flavour enhancer e, aroma, cayenne pepper, may contain wild egg traces","gluten, milk, pork",,milk,,,,wheat,,,"milk, wheat"
47,Tomato Ketchup,https://world.openfoodfacts.org/product/50457236,"tomatoes, spirit vinegar, sugar, salt, spice and herb extracts contain celery, spice",celery,,,,,,,,,none
48,Oat milk,https://world.openfoodfacts.org/product/5411188124689,"water, oats, soluble corn fiber, sunflower, calcium carbonate, sea salt, stabilizer gellan, vitamins b and d","gluten,haferbasis",,,,,,wheat,,,wheat
49,TUC Original Crackers,https://world.openfoodfacts.org/product/5410041001204,"wheat flour, palm oil, glucose syrup, barley malt extract, raising agents ammonium carbonates, sodium carbonates, salt, eggs, flavor, flour treatment agent sodium disulfite","eggs,gluten",,,egg,,,wheat,,,"egg, wheat"
50,Peanut cream,https://world.openfoodfacts.org/product/8480000168832/crema-de-cacahuetes-100-hacendado, peanuts arachis hypogaea,peanuts,,,,peanut,tree nut,,,,"peanut, tree nut"
51,Merendino snack cake,https://world.openfoodfacts.org/product/6111031005552,"sugar, nonhydrogenated vegetable oils palm, palm kernel, soy, eggs, flocculants glycerol, sorbitol, glucose syrup, lowfat cocoa powder, milk filtrate, vegetable starch, mono and diglycerides of fatty acids soy, sodium bicarbonate, acidity regulator citric acid, preservatives potassium sorbate, sorbic acid, fennel, xanthan gum","eggs,gluten,milk,soybeans",,milk,egg,,,wheat,soy,,"milk, egg, wheat, soy"
52,Jebli,https://world.openfoodfacts.org/product/6111206000733,"white cheese, water cream, milk proteins, salt, coagulants starch, agar, xatan gum, preservatives potassium sorbate, flavor, keep cool between  and   of the fatty substances",milk,,milk,,,,,,,milk
53,Nutella Ferrero,https://world.openfoodfacts.org/product/8000500179864/nutella-ferrero,"sugar,vegetable fat palm,hazelnuts ,skimmed milk powder ,lowfat cocoa powder ,emulsifier lecithins soy ,flavor vanillin ","hazelnuts, milk, soy",,milk,,,tree nut,,soy,,"milk, tree nut, soy"
54,Vegan Bouillon powder,https://world.openfoodfacts.org/product/50160884,"sea salt, potato starch, hydrolysed vegetable protein containing soya, vegetable oil sunflower, rapeseed, vegetables  onion, parsnip, carrot, leek, celery seed, parsley, turmeric, white pepper, garlic, mace, lovage, nutmeg","celery,milk,soybeans",,milk,,,,,soy,,"milk, soy"
55,Creamy Greek Style Natural Yogurt,https://world.openfoodfacts.org/product/4056489148739,milk,milk,,milk,,,,,,,milk
56,BE NUTS Peanut Spread  ,https://world.openfoodfacts.org/product/3608580124047,"roasted peanuts, sugar, cocoa butter, sunflower oil, salt, vanilla extract, emulsifier sunflower lecithin",peanuts,,,,peanut,tree nut,,,,"peanut, tree nut"
57,Apple & hazelnut,https://world.openfoodfacts.org/product/3175681851849,"wheat flour, rapeseed oil, fruit sugar syrup, concentrated apple juice, roasted hazelnuts, wheat germ, chicory fibers fructooligosaccharides, barley malt extract, natural apple flavor, emulsifier rapeseed lecithins, wheat starch, raising agents potassium tartrates, potassium carbonates, vitamins b, pp, e","gluten,nuts",,,,,tree nut,wheat,,,"tree nut, wheat"
58,Soft unsalted butter,https://world.openfoodfacts.org/product/3451790988677,"cream origin france, milk fat , lactic ferments,",milk,,milk,,,,,,,milk
59,Family Pack,https://world.openfoodfacts.org/product/5010029000801,"wholegrain wheat , malted barley extract, sugar, salt, niacin, iron, riboflavin b, thiamin b, folic acid",gluten,,,,,,wheat,,,wheat
60,Pasteurized Lben (buttermilk),https://world.openfoodfacts.org/product/6111242101050,"partially creamed fresh milk, lactic cultures, fat content",milk,,milk,,,,,,,milk
61,Oat flakes,https://world.openfoodfacts.org/product/20003166, wholemeal oat flakes,gluten,,,,,,wheat,,,wheat
62,Organic Vegetable Stock Cubes,https://world.openfoodfacts.org/product/5013665112273,"sea salt, potato starch, sustainable palm oil, sugar, vegetables  celery, onion, parsnip, tomato, sunflower oil, yeast extract, caramelised sugar, herbs and spices lovage, turmeric, parsely, black pepper",celery,,,,,,,,,none
63,Extra dark chocolate,https://world.openfoodfacts.org/product/20095291,"cocoa mass, sugar, cocoa butter, emulsifier soya lecithins, vanilla extract",soybeans,,,,,,,soy,,soy
64,KALLO Organic Beef Stock Cubes ,https://world.openfoodfacts.org/product/5013665112259/organic-beef-stock-cubes-8-pack-kall%C3%B8,"sea salt, potato starch, sustainable palm fat palm oil, vegetables onion, carrot, mushroom, sugar, beef natural flavour, caramelized sugar, yeast extract, beef powder, beef fat, herbs and spices, parsley, black pepper, rosemary, garlic, turmeric, bay",celery,,,,,,,,,none
65,TOFOO Naked Tofu,https://world.openfoodfacts.org/product/5034467000216,"organic tofu water, organic soya beans , nigari",soybeans,,,,,,,soy,,soy
66,MENGUYS Peanut ,https://world.openfoodfacts.org/product/3327272107969/menguy-s-peanut-100,peanuts,peanuts,,,,peanut,tree nut,,,,"peanut, tree nut"
67,Fresh milk,https://world.openfoodfacts.org/product/6111126003821,pasteurized whole milk,milk,,milk,,,,,,,milk
68,Fresh cream cheese squares,https://world.openfoodfacts.org/product/3480341000674,"skimmed milk origin france, salt, lactic ferments",milk,,milk,,,,,,,milk
69,AMORA ketchup,https://world.openfoodfacts.org/product/8710522922002/amora-ketchup-5-ingredients-flacon-souple-273g,"tomatoes g per g of ketchup, spirit vinegar, sugar, a little salt, spice extract, tomatoes from sustainable farming",vinegar,,,,,,,,,none
70,PRINGLES Original,https://world.openfoodfacts.org/product/5053990156009,"dehydrated potatoes, vegetable oils sunflower, palm, corn in variable proportions, wheat flour, corn flour, rice flour, maltodextrin, emulsifier, salt, coloring annattoorbixine",gluten,,,,,,wheat,,,wheat
71,Nutella,https://world.openfoodfacts.org/product/4008400401621,"sugar, palm oil, hazelnuts, skimmed milk powder, lowfat cocoa, emulsifier lecithin soya, vanillin","milk,nuts,soybeans",,milk,,,tree nut,,soy,,"milk, tree nut, soy"
72,Fig & Bran,https://world.openfoodfacts.org/product/3251490332080,"whole wheat flour, wheat flour, wheat bran, rapeseed oil, brown cane sugar, fig paste, natural fig flavor, natural flavor, emulsifier rapeseed lecithins, raising agents citric acid, potassium carbonates, sodium carbonates",gluten,,,,,,wheat,,,wheat
73,Brewers yeast,https://world.openfoodfacts.org/product/3175680015228,"brewers yeast, barley malt extract",gluten,,,,,,wheat,,,wheat
74,Chocolate crunch cereal,https://world.openfoodfacts.org/product/3229820160672,"whole oat flakes, whole wheat flakes, dark chocolate cocoa paste, unrefined cane sugar, cocoa butter, extruded rice, rice flour, unrefined cane sugar, wheat flour, sunflower oil, honey, stabilizer acacia gum, molasses, coconut flakes, sea salt, cinnamon, antioxidant tocopherolrich extract",gluten,,,,,,wheat,,,wheat
75,Wholegrain rye bread,https://world.openfoodfacts.org/product/20006105,"wholemeal rye, water, sourdough water, wholemeal rye, rye flour, wheat flour, wholegrain rye flour, invert sugar syrup, salt, rye flakes, yeast",gluten,,,,,,wheat,,,wheat
76,Organic sandwich bread,https://world.openfoodfacts.org/product/3760049790214,"wheat flour, water, whole wheat flour , brown cane sugar, yeast, rapeseed oil, apple cider vinegar, wheat bran, salt, wheat gluten, ascorbic acid, possible traces of soy",gluten,,,,,,wheat,,,wheat
77,KRAFTIG Bitter Extra,https://world.openfoodfacts.org/product/3046920028721,"cocoa mass, lowfat cocoa powder, cocoa butter",milk,,milk,,,,,,,milk
78,Seed Sensations,https://world.openfoodfacts.org/product/5010003064744,"wheat flour calcium, iron, niacin, thiamin, water, seed mix  toasted brown linseed, toasted sunflower seeds, pumpkin seeds, sunflower seeds, millet seeds, golden linseed, poppy seeds, yeast, wheat  protein, salt, soya flour, malted barley flour, granulated sugar, barley flour, preservative e, caramelised sugar, barley fibre, emulsifier ee, flour treatment agent ascorbic acid","gluten,soybeans",,,,,,wheat,soy,,"wheat, soy"
79,Sardines in extra virgin olive oil,https://world.openfoodfacts.org/product/3019081238643,"sardines, extra virgin olive oil, salt",fish,,,,,,,,fish,fish
80,Balanced table oil ,https://world.openfoodfacts.org/product/6111024001516,"vegetable oils soy, sunflower, rapeseed in variable proportions, natural flavor, vitamin a, vitamin d, provitamin a",soybeans,,,,,,,soy,,soy
81,Petit beurre biscuits,https://world.openfoodfacts.org/product/6111259342828,"wheat flour, sugar, butter, fine caramel pieces, creamed milk powder, hydrogenated vegetable oils palm, starch, pasteurized whole liquid eggs, creamed milk powder, inverted sugar syrup, raising agents sodium acid pyrophosphate, sodium bicarbonate, ammonium bicarbonate, salt, emulsifier soy lecithins, vanilla flavor","eggs,gluten,milk,soybeans",,milk,egg,,,wheat,soy,,"milk, egg, wheat, soy"
82,Milk rolls,https://world.openfoodfacts.org/product/3256540000698,"wheat flour, sourdough wheat flour, water, salt, sugar, fresh eggs, pastry butter, rapeseed oil, yeast, creamed milk powder or reconstituted milk cream, emulsifier mono and diglycerides of fatty acids, salt, wheat proteins, wheat gluten, carrot extract, flour treatment agent ascorbic acid, milk proteins","eggs,gluten,milk",,milk,egg,,,wheat,,,"milk, egg, wheat"
83,FLEURY MICHON Vege slices red lentils,https://world.openfoodfacts.org/product/3302740087059/les-tranches-vege-lentilles-corail-fleury-michon,"water, cooked red lentils, powdered egg white, rapeseed oil, starches, broth, water, carrots, onions, aromatic herbs, celery, spices, salt, rapeseed oil, plant extracts, natural flavors, salt, preservative vinegar, colorings, paprika extract, plain caramel, pepper.","egg, celery",,,egg,,,,,,egg
84,Milk chocolate,https://world.openfoodfacts.org/product/3045140105502,"sugar, cocoa butter, cocoa paste, creamed milk powder, milk whey powder, concentrated butter, emulsifier soy lecithin, hazelnut paste, natural flavor","milk,nuts,soybeans",,milk,,,tree nut,,soy,,"milk, tree nut, soy"
85,PHILADELPHIA cream cheese Mondelez International,https://world.openfoodfacts.org/product/7622201693916/philadelphia-mondelez-international,"full fat soft cheese, salt, stabiliser guar gum, acid citric acid made with pasteurised milk",milk,,milk,,,,,,,milk
86,Mustard,https://world.openfoodfacts.org/product/6111184001203,"water, mustard seeds, table vinegar, salt, soybean oil, stabilizers, preservatives, antioxidant",mustard,,,,,,,,,none
87,Original Bagels,https://world.openfoodfacts.org/product/5020364010113,"wheat flour with added calcium carbonate, iron, niacin, thiamin, water, sugar, yeast, vinegar, salt, rapeseed oil, preservative calcium propionate, maize, sweet potato puree, malted barley flour, flour treatment agent ascorbic acid",gluten,,,,,,wheat,,,wheat
88,Organic sliced brioche,https://world.openfoodfacts.org/product/3284230006408,"wheat flour, whole eggs, brown cane sugar, sunflower oil, sourdough water, wheat and rye flours, yeast, wheat gluten, salt, natural vanilla flavor contains alcohol, vanilla extract, inactive yeast","eggs,gluten",,,egg,,,wheat,,,"egg, wheat"
89,Growing-up milk,https://world.openfoodfacts.org/product/6111242103528,"partially creamed milk, lactose, nonhydrogenated vegetable oils rapeseed, sunflower, maltodextrins, sucrose, sunflower lecithin, vanilla flavor, vitamins a, bcomplex, c, d, e, k, pp, taurine, minerals calcium citrate, magnesium citrate, iron sulfate, copper sulfate, zinc sulfate, manganese sulfate, potassium iodide, sodium selenite",milk,,milk,,,,,,,milk
90,PHILADELPHIA cream cheese  ,https://world.openfoodfacts.org/product/7622201693916,"full fat soft cheese, salt, stabiliser guar gum, acid citric acid made with pasteurised milk",milk,,milk,,,,,,,milk
91,High Protein Chocolate Flavour Pudding,https://world.openfoodfacts.org/product/4056489216162,"skimmed milk, milk protein, cream, lowfat cocoa powder, modified starch, thickeners carrageenan, sodium carboxymethylcellulose, natural flavor, flavoring, sweeteners acesulfame k, sucralose, lactase",milk,,milk,,,,,,,milk
92,RUBIES ketchup ,https://world.openfoodfacts.org/product/5060310781346/ketchup-rubies,"fruit g per g tomatoes, surplus pearsapples, sugar, spirit vinegar, salt, preservative potassium sorbate, spies",apple,,,,,,,,,none
93,Real Mayonnaise,https://world.openfoodfacts.org/product/8722700479475,"rapeseed oil , egg , egg yolk ,, water, spirit vinegar, sugar, salt, lemon juice concentrate, flavourings, antioxidant calcium disodium edta, paprika extract, sunflower oil",eggs,,,egg,,,,,,egg
94,KING cookies choco,https://world.openfoodfacts.org/product/6111259343344,"wheat flour, chocolate chips  sugar, cocoa mass, cocoa butter, emulsifier soy lecithin, natural vanilla flavour, sugar, glucosefructose syrup, whey powder milk, vegetable oils palm, sunflower, cocoa powder, raising agents sodium bicarbonate, ammonium bicarbonate, salt, flavour vanilla",milk,,milk,,,,,,,milk
95,Vegetable Fat Spread with Olive Oil,https://world.openfoodfacts.org/product/8719200237902,"vegetable oils rapeseed, palm, olive , water, salt , buttermilk milk, emulsifiers mono   diglycerides of fatty acids, lecithin, natural flavourings, vitamins a  d",milk,,milk,,,,,,,milk
96,Pesto Rosso,https://world.openfoodfacts.org/product/8076809523547,"tomato pulp , sunflower oil, tomato concentrate , grana padano pdo cheese milk, lysozyme from egg, cashews, sugar, salt, basil, balsamic vinegar of modena wine vinegar, cooked grape must , whey powder milk, pecorino romano pdo cheese sheeps milk, rice starch, garlic, acidity regulator lactic acid, natural flavouring milk","eggs,milk,nuts",,milk,egg,,tree nut,,,,"milk, egg, tree nut"
97,LIDL Organic Dark Chocolate,https://world.openfoodfacts.org/product/40896243,"cocoa paste, cane sugar, cocoa butter, emulsifier soy lecithins",soybeans,,,,,,,soy,,soy
98,Fruit & Nut Mix,https://world.openfoodfacts.org/product/20815394," walnuts,  whole almonds,  sultanas sultanas, sunflower oil,  dried sweetened cranberries cranberries, sugar, sunflower oil",nuts,,,,,tree nut,,,,tree nut
99,Plain fresh cream cheese squares,https://world.openfoodfacts.org/product/3480341000636,"milk, cream, salt, lactic cultures",milk,,milk,,,,,,,milk
100,Mayonnaise,https://world.openfoodfacts.org/product/8718114724485,"rapeseed oil , egg , egg yolk ,, water, spirit vinegar, sugar, salt, lemon juice concentrate, flavourings, antioxidant calcium disodium edta, paprika extract, sunflower oil,",eggs,,,egg,,,,,,egg
101,Peripella,https://world.openfoodfacts.org/product/6111250474405,"sugar, vegetable oil and fat, milk whey powder, cocoa powder, hazelnut paste, emulsifiers soy lecithin, flavors, antioxidants","milk,nuts,soybeans",,milk,,,tree nut,,soy,,"milk, tree nut, soy"
102,Smooth yogurt,https://world.openfoodfacts.org/product/6111242102767,"fresh milk, cream, sugar, creamed milk powder, lactic cultures, flavor, vitamins a and d",milk,,milk,,,,,,,milk
103,Soy vanilla yogurt,https://world.openfoodfacts.org/product/5411188103387,"soy juice, sugar, stabilizer pectins, acidity regulators citric acid, sodium citrates, calcium, carrot concentrate, table sea salt, flavors, natural vanilla flavor, powdered vanilla, antioxidants tocopherolrich extract, ascorbic acid esters, vitamins b, b, d, yogurt cultures s thermophilus, l bulgaricus",soybeans,,,,,,,soy,,soy
104,Organic peanut butter,https://world.openfoodfacts.org/product/3760091727732,peanut,"nuts,peanuts",,,,peanut,tree nut,,,,"peanut, tree nut"
105,WEETABIX whole wheat cereal,https://world.openfoodfacts.org/product/5010029000023,"whole wheat, malted barley extract, sugar, salt, niacin, iron, vitamins b",gluten,,,,,,wheat,,,wheat
106,Almond Drink,https://world.openfoodfacts.org/product/4056489346357,"water, almonds, maltodextrins, sea salt, stabilizers carob seed flour, gellanic gum, emulsifier sunflower lecithin, natural aroma, from organic farming","gluten,nuts",,,,,tree nut,wheat,,,"tree nut, wheat"
107,BROOKLEA Authentic Greek Yogurt,https://world.openfoodfacts.org/product/4088600060941/authentic-greek-yogurt-brooklea,milk,milk,,milk,,,,,,,milk
108,Wheat Bisks,https://world.openfoodfacts.org/product/4088600247519,"whole wheat , barley malt extract, sugar, salt, niacin, iron, riboflavin, thiamin, folic acid,",gluten,,,,,,wheat,,,wheat
109,Excellence dark chocolate,https://world.openfoodfacts.org/product/3046920029780,"cocoa paste, sugar, cocoa butter, emulsifier soy lecithin, vanilla",soybeans,,,,,,,soy,,soy
110,Sliced brioche loaf (gache),https://world.openfoodfacts.org/product/3587220002252,"wheat flour, sugar, fresh butter, whole fresh eggs, water, fresh cream, salt, natural flavors contains alcohol, yeast, wheat gluten, brandy, milk proteins, inactive yeast, coloring betacarotene","eggs,gluten,milk",,milk,egg,,,wheat,,,"milk, egg, wheat"
111,ST HUBERT organic plant-based spread,https://world.openfoodfacts.org/product/3366321052386,"vegetable oils shea, higholeic sunflower, coconut, rapeseed, water, emulsifier soy lecithin, salt, natural carrot flavor, lemon juice, stabilizer pectin","nuts,soybeans",,,,,tree nut,,soy,,"tree nut, soy"
